Company,Website,Email,Status,Answer ?,First Line,Recipient Name,Greeting,RowNum,Stage,,,,,,,,,,,,,,,,,
Orion Capital Partners (OCP),https://orioncappartners.com/,info@orioncappartners.com,,,,,"Hi Orion Capital Partners (OCP) team,",16,,,,,,,,,,,,,,,,,,
Magnus Partners Inc,http://www.magnus.partners/,team@latofonts.com,,,,,"Hi Magnus Partners Inc team,",17,,,,,,,,,,,,,,,,,,
Akinn Group,https://www.akinngroup.com/,hello@akinngroup.com,,,,,"Hi Akinn Group team,",18,,,,,,,,,,,,,,,,,,
Spencer House Partners LLP,http://www.spencerhousepartners.com/,info@mysite.com,,,,,"Hi Spencer House Partners LLP team,",19,,,,,,,,,,,,,,,,,,
Fraser Finance,https://www.fraserfinance.com/,hello@fraserfinance.com,,,,,"Hi Fraser Finance team,",20,,,,,,,,,,,,,,,,,,
HIGHSTEAD PARTNERS,http://www.highsteadpartners.co.uk/,info@highsteadpartners.co.uk,,,,,"Hi HIGHSTEAD PARTNERS team,",21,,,,,,,,,,,,,,,,,,
Wolfline Capital,https://wolfline.capital/,info@wolfline.capital,,,,,"Hi Wolfline Capital team,",22,,,,,,,,,,,,,,,,,,
Desmos Capital Partners,https://www.desmoscp.com/,info@desmoscp.com,,,,,"Hi Desmos Capital Partners team,",23,,,,,,,,,,,,,,,,,,
Whitman Howard,http://www.whitman-howard.com/,support@34sp.com,,,,,"Hi Whitman Howard team,",24,,,,,,,,,,,,,,,,,,
CLEO CAPITAL HOLDING,https://www.cleo-capital.com/,contact@cleo-capital.com,,,,,"Hi CLEO CAPITAL HOLDING team,",25,,,,,,,,,,,,,,,,,,
Anglo-Suisse Capital Limited,http://www.anglo-suisse.com/,info@anglo-suisse.com,,,,,"Hi Anglo-Suisse Capital Limited team,",26,,,,,,,,,,,,,,,,,,
Green Square Associates Limited,http://www.gsquare.co.uk/,info@gsquare.co.uk,,,,,"Hi Green Square Associates Limited team,",27,,,,,,,,,,,,,,,,,,
Exito Partners,http://www.exitopartners.com/,info@exitopartners.com,,,,,"Hi Exito Partners team,",28,,,,,,,,,,,,,,,,,,
J Goodwin & Co,https://jgoodwinandco.com/,info@jgoodwinandco.com,,,,,"Hi J Goodwin & Co team,",29,,,,,,,,,,,,,,,,,,
Load Capital,https://www.load-capital.com/,info@load-capital.com,,,,,"Hi Load Capital team,",30,,,,,,,,,,,,,,,,,,
finnCap Cavendish,http://www.cavendish.com/,contact@cavendish.com,,,,,"Hi finnCap Cavendish team,",31,,,,,,,,,,,,,,,,,,
Phoenix Partners LLC,http://www.phoenix-partners.com/,info@phoenix-partners.com,,,,,"Hi Phoenix Partners LLC team,",32,,,,,,,,,,,,,,,,,,
Oakbridge Capital Advisors Ltd,http://www.oakbridgecapital.com/,office@oakbridgecapital.com,,,,,"Hi Oakbridge Capital Advisors Ltd team,",33,,,,,,,,,,,,,,,,,,
Staples Capital Limited,http://www.staplescapital.com/,info@staplescapital.com,,,,,"Hi Staples Capital Limited team,",34,,,,,,,,,,,,,,,,,,
Banqum Group,https://www.banqum.net/,info@banqum.net,,,,,"Hi Banqum Group team,",35,,,,,,,,,,,,,,,,,,
Amaltheia Advisors,http://www.amaltheiallp.com/,Info@AmaltheiaFinancial.com,,,,,"Hi Amaltheia Advisors team,",36,,,,,,,,,,,,,,,,,,
KACH Capital Partners LLP,http://www.kachcapital.com/,info@kachcapital.com,,,,,"Hi KACH Capital Partners LLP team,",37,,,,,,,,,,,,,,,,,,
Aurelia Capital Partners,http://aureliacap.com/,info@aureliacap.com,,,,,"Hi Aurelia Capital Partners team,",38,,,,,,,,,,,,,,,,,,
Swordfish Investments Llp,http://www.swordfishinvestments.com/,info@aybe.com,,,,,"Hi Swordfish Investments Llp team,",39,,,,,,,,,,,,,,,,,,
Rockfield Advisors,http://www.rockfieldadvisors.com/,contact@rockfieldadvisors.com,,,,,"Hi Rockfield Advisors team,",40,,,,,,,,,,,,,,,,,,
Company EYE Ltd,https://www.companyeye.co.uk/,info@companyeye.co.uk,,,,,"Hi Company EYE Ltd team,",41,,,,,,,,,,,,,,,,,,
SOL CAPITAL MARKETS,http://solcapm.com/,info@solcapm.com,,,,,"Hi SOL CAPITAL MARKETS team,",42,,,,,,,,,,,,,,,,,,
Globalis CAPITAL,https://www.globalis.capital/,info@globalis.capital,,,,,"Hi Globalis CAPITAL team,",43,,,,,,,,,,,,,,,,,,
Panchariya Brothers Investment Holding Ltd,https://panchariyagroup.com/,info@Panchariyagroup.com,,,,,"Hi Panchariya Brothers Investment Holding Ltd team,",44,,,,,,,,,,,,,,,,,,
Moskito Ventures,https://www.moskitoventures.co.uk/,contact@moskitoventures.co.uk,,,,,"Hi Moskito Ventures team,",45,,,,,,,,,,,,,,,,,,
Bernard Baxter,http://www.bernardbaxter.co.uk/,contact@bernardbaxter.co.uk,,,,,"Hi Bernard Baxter team,",46,,,,,,,,,,,,,,,,,,
Cross Finanz,http://www.crossfinanz.com/,info@crossfinanz.com,,,,,"Hi Cross Finanz team,",47,,,,,,,,,,,,,,,,,,
Swiss Alpha Management,https://www.swissalpha.org/,info@swissalpha.org,,,,,"Hi Swiss Alpha Management team,",48,,,,,,,,,,,,,,,,,,
MOCOH BROKERS LTD,http://www.mocoh.com/,info@mocoh.com,,,,,"Hi MOCOH BROKERS LTD team,",49,,,,,,,,,,,,,,,,,,
Dry Associates Limited,http://www.dryassociates.com/,info@dryassociates.com,,,,,"Hi Dry Associates Limited team,",50,,,,,,,,,,,,,,,,,,
MBU Capital,https://www.mbucapital.com/,info@mbucapital.com,,,,,"Hi MBU Capital team,",51,,,,,,,,,,,,,,,,,,
,,,,,,,,52,,,,,,,,,,,,,,,,,,
,,,,,,,,53,,,,,,,,,,,,,,,,,,
,,,,,,,,54,,,,,,,,,,,,,,,,,,
,,,,,,,,55,,,,,,,,,,,,,,,,,,
Private equity insights ,https://pe-insights.com,info@pe-insights.com ,Emailed ,No answer ,,,"Hi Private equity insights  team,",56,,,,,,,,,,,,,,,,,,
16VC,https://www.16vc.co,info@16vc.co,Emailed ,No answer ,,,"Hi 16VC team,",57,,,,,,,,,,,,,,,,,,
Tiger infrastructure ,https://www.tigerinfrastructure.com,info@tigerinfrastructure.com,Emailed ,No answer ,,,"Hi Tiger infrastructure  team,",58,,,,,,,,,,,,,,,,,,
yh2 capital,https://yh2capital.com/contact/,info@yh2capital.com,Emailed ,No answer ,,,"Hi yh2 capital team,",59,,,,,,,,,,,,,,,,,,
Eaton Recruitment,https://eatonrecruitment.com/contact-us/,daniel@eatonrecruitment.com,Emailed ,REJECTION,27/10/2025,,"Hi Eaton Recruitment team,",60,,,,,,,,,,,,,,,,,,
Proton partners ,https://www.protonpartners.com,inquire@protonpartners.com,Emailed ,No answer ,27/10/2025,,"Hi Proton partners  team,",61,,,,,,,,,,,,,,,,,,
AHV associates ,https://www.ahvassociates.com,info@ahvassociates.com ,Emailed ,No answer ,27/10/2025,,"Hi AHV associates  team,",62,,,,,,,,,,,,,,,,,,
TVC ,https://www.theventurecollective.com,hello@theventurecollective.com,Emailed ,No answer ,30/10/2025,,"Hi TVC  team,",63,,,,,,,,,,,,,,,,,,
Sapphire ventures,https://sapphireventures.com,INFO@SAPPHIREVENTURES.COM,Emailed ,No answer ,30/10/2025,,"Hi Sapphire ventures team,",64,,,,,,,,,,,,,,,,,,
HSA advisory,https://hsa-advisory.co.uk/contact/,hello@hsa-advisory.co.uk,Emailed ,No answer ,10/11/2025,,"Hi HSA advisory team,",65,,,,,,,,,,,,,,,,,,
WSD group,https://wsd.com/about,https://wsd.com/about,Emailed ,No answer ,10/11/2025,,"Hi WSD group team,",66,,,,,,,,,,,,,,,,,,
Blue lion ,https://www.bluelion.co,info@bluelion.co,Emailed ,No answer ,12/11/2025,,"Hi Blue lion  team,",67,,,,,,,,,,,,,,,,,,
,,,,,,,,68,,,,,,,,,,,,,,,,,,
,,,,,,,,69,,,,,,,,,,,,,,,,,,
,,,,,,,,70,,,,,,,,,,,,,,,,,,
,,,,,,,,71,,,,,,,,,,,,,,,,,,
,,,,,,,,72,,,,,,,,,,,,,,,,,,
,,,,,,,,73,,,,,,,,,,,,,,,,,,
,,,,,,,,74,,,,,,,,,,,,,,,,,,
,,,,,,,,75,,,,,,,,,,,,,,,,,,
,,,,,,,,76,,,,,,,,,,,,,,,,,,
,,,,,,,,77,,,,,,,,,,,,,,,,,,
,,,,,,,,78,,,,,,,,,,,,,,,,,,
,,,,,,,,79,,,,,,,,,,,,,,,,,,
,,,,,,,,80,,,,,,,,,,,,,,,,,,
,,,,,,,,81,,,,,,,,,,,,,,,,,,
,,,,,,,,82,,,,,,,,,,,,,,,,,,
,,,,,,,,83,,,,,,,,,,,,,,,,,,
,,,,,,,,84,,,,,,,,,,,,,,,,,,
,,,,,,,,85,,,,,,,,,,,,,,,,,,
,,,,,,,,86,,,,,,,,,,,,,,,,,,
,,,,,,,,87,,,,,,,,,,,,,,,,,,
,,,,,,,,88,,,,,,,,,,,,,,,,,,
,,,,,,,,89,,,,,,,,,,,,,,,,,,
,,,,,,,,90,,,,,,,,,,,,,,,,,,
,,,,,,,,91,,,,,,,,,,,,,,,,,,
,,,,,,,,92,,,,,,,,,,,,,,,,,,
,,,,,,,,93,,,,,,,,,,,,,,,,,,
,,,,,,,,94,,,,,,,,,,,,,,,,,,
,,,,,,,,95,,,,,,,,,,,,,,,,,,
,,,,,,,,96,,,,,,,,,,,,,,,,,,
,,,,,,,,97,,,,,,,,,,,,,,,,,,
,,,,,,,,98,,,,,,,,,,,,,,,,,,
,,,,,,,,99,,,,,,,,,,,,,,,,,,
,,,,,,,,100,,,,,,,,,,,,,,,,,,
,,,,,,,,101,,,,,,,,,,,,,,,,,,
,,,,,,,,102,,,,,,,,,,,,,,,,,,
,,,,,,,,103,,,,,,,,,,,,,,,,,,
,,,,,,,,104,,,,,,,,,,,,,,,,,,
,,,,,,,,105,,,,,,,,,,,,,,,,,,
,,,,,,,,106,,,,,,,,,,,,,,,,,,
,,,,,,,,107,,,,,,,,,,,,,,,,,,
,,,,,,,,108,,,,,,,,,,,,,,,,,,
,,,,,,,,109,,,,,,,,,,,,,,,,,,
,,,,,,,,110,,,,,,,,,,,,,,,,,,
,,,,,,,,111,,,,,,,,,,,,,,,,,,
,,,,,,,,112,,,,,,,,,,,,,,,,,,
,,,,,,,,113,,,,,,,,,,,,,,,,,,
,,,,,,,,114,,,,,,,,,,,,,,,,,,
,,,,,,,,115,,,,,,,,,,,,,,,,,,
,,,,,,,,116,,,,,,,,,,,,,,,,,,
,,,,,,,,117,,,,,,,,,,,,,,,,,,
,,,,,,,,118,,,,,,,,,,,,,,,,,,
,,,,,,,,119,,,,,,,,,,,,,,,,,,
,,,,,,,,120,,,,,,,,,,,,,,,,,,
,,,,,,,,121,,,,,,,,,,,,,,,,,,
,,,,,,,,122,,,,,,,,,,,,,,,,,,
,,,,,,,,123,,,,,,,,,,,,,,,,,,
,,,,,,,,124,,,,,,,,,,,,,,,,,,
,,,,,,,,125,,,,,,,,,,,,,,,,,,
,,,,,,,,126,,,,,,,,,,,,,,,,,,
,,,,,,,,127,,,,,,,,,,,,,,,,,,
,,,,,,,,128,,,,,,,,,,,,,,,,,,
,,,,,,,,129,,,,,,,,,,,,,,,,,,
,,,,,,,,130,,,,,,,,,,,,,,,,,,
,,,,,,,,131,,,,,,,,,,,,,,,,,,
,,,,,,,,132,,,,,,,,,,,,,,,,,,
,,,,,,,,133,,,,,,,,,,,,,,,,,,
,,,,,,,,134,,,,,,,,,,,,,,,,,,
,,,,,,,,135,,,,,,,,,,,,,,,,,,
,,,,,,,,136,,,,,,,,,,,,,,,,,,
,,,,,,,,137,,,,,,,,,,,,,,,,,,
,,,,,,,,138,,,,,,,,,,,,,,,,,,
,,,,,,,,139,,,,,,,,,,,,,,,,,,
,,,,,,,,140,,,,,,,,,,,,,,,,,,
,,,,,,,,141,,,,,,,,,,,,,,,,,,
,,,,,,,,142,,,,,,,,,,,,,,,,,,
,,,,,,,,143,,,,,,,,,,,,,,,,,,
,,,,,,,,144,,,,,,,,,,,,,,,,,,
,,,,,,,,145,,,,,,,,,,,,,,,,,,
,,,,,,,,146,,,,,,,,,,,,,,,,,,
,,,,,,,,147,,,,,,,,,,,,,,,,,,
,,,,,,,,148,,,,,,,,,,,,,,,,,,
,,,,,,,,149,,,,,,,,,,,,,,,,,,
,,,,,,,,150,,,,,,,,,,,,,,,,,,
,,,,,,,,151,,,,,,,,,,,,,,,,,,
,,,,,,,,152,,,,,,,,,,,,,,,,,,
,,,,,,,,153,,,,,,,,,,,,,,,,,,
,,,,,,,,154,,,,,,,,,,,,,,,,,,
,,,,,,,,155,,,,,,,,,,,,,,,,,,
,,,,,,,,156,,,,,,,,,,,,,,,,,,
,,,,,,,,157,,,,,,,,,,,,,,,,,,
,,,,,,,,158,,,,,,,,,,,,,,,,,,
,,,,,,,,159,,,,,,,,,,,,,,,,,,
,,,,,,,,160,,,,,,,,,,,,,,,,,,
,,,,,,,,161,,,,,,,,,,,,,,,,,,
,,,,,,,,162,,,,,,,,,,,,,,,,,,
,,,,,,,,163,,,,,,,,,,,,,,,,,,
,,,,,,,,164,,,,,,,,,,,,,,,,,,
,,,,,,,,165,,,,,,,,,,,,,,,,,,
,,,,,,,,166,,,,,,,,,,,,,,,,,,
,,,,,,,,167,,,,,,,,,,,,,,,,,,
,,,,,,,,168,,,,,,,,,,,,,,,,,,
,,,,,,,,169,,,,,,,,,,,,,,,,,,
,,,,,,,,170,,,,,,,,,,,,,,,,,,
,,,,,,,,171,,,,,,,,,,,,,,,,,,
,,,,,,,,172,,,,,,,,,,,,,,,,,,
,,,,,,,,173,,,,,,,,,,,,,,,,,,
,,,,,,,,174,,,,,,,,,,,,,,,,,,
,,,,,,,,175,,,,,,,,,,,,,,,,,,
,,,,,,,,176,,,,,,,,,,,,,,,,,,
,,,,,,,,177,,,,,,,,,,,,,,,,,,
,,,,,,,,178,,,,,,,,,,,,,,,,,,
,,,,,,,,179,,,,,,,,,,,,,,,,,,
,,,,,,,,180,,,,,,,,,,,,,,,,,,
,,,,,,,,181,,,,,,,,,,,,,,,,,,
,,,,,,,,182,,,,,,,,,,,,,,,,,,
,,,,,,,,183,,,,,,,,,,,,,,,,,,
,,,,,,,,184,,,,,,,,,,,,,,,,,,
,,,,,,,,185,,,,,,,,,,,,,,,,,,
,,,,,,,,186,,,,,,,,,,,,,,,,,,
,,,,,,,,187,,,,,,,,,,,,,,,,,,
,,,,,,,,188,,,,,,,,,,,,,,,,,,
,,,,,,,,189,,,,,,,,,,,,,,,,,,
,,,,,,,,190,,,,,,,,,,,,,,,,,,
,,,,,,,,191,,,,,,,,,,,,,,,,,,
,,,,,,,,192,,,,,,,,,,,,,,,,,,
,,,,,,,,193,,,,,,,,,,,,,,,,,,
,,,,,,,,194,,,,,,,,,,,,,,,,,,
,,,,,,,,195,,,,,,,,,,,,,,,,,,
,,,,,,,,196,,,,,,,,,,,,,,,,,,
,,,,,,,,197,,,,,,,,,,,,,,,,,,
,,,,,,,,198,,,,,,,,,,,,,,,,,,
,,,,,,,,199,,,,,,,,,,,,,,,,,,
,,,,,,,,200,,,,,,,,,,,,,,,,,,
,,,,,,,,201,,,,,,,,,,,,,,,,,,
,,,,,,,,202,,,,,,,,,,,,,,,,,,
,,,,,,,,203,,,,,,,,,,,,,,,,,,
,,,,,,,,204,,,,,,,,,,,,,,,,,,
,,,,,,,,205,,,,,,,,,,,,,,,,,,
,,,,,,,,206,,,,,,,,,,,,,,,,,,
,,,,,,,,207,,,,,,,,,,,,,,,,,,
,,,,,,,,208,,,,,,,,,,,,,,,,,,
,,,,,,,,209,,,,,,,,,,,,,,,,,,
,,,,,,,,210,,,,,,,,,,,,,,,,,,
,,,,,,,,211,,,,,,,,,,,,,,,,,,
,,,,,,,,212,,,,,,,,,,,,,,,,,,
,,,,,,,,213,,,,,,,,,,,,,,,,,,
,,,,,,,,214,,,,,,,,,,,,,,,,,,
,,,,,,,,215,,,,,,,,,,,,,,,,,,
,,,,,,,,216,,,,,,,,,,,,,,,,,,
,,,,,,,,217,,,,,,,,,,,,,,,,,,
,,,,,,,,218,,,,,,,,,,,,,,,,,,
,,,,,,,,219,,,,,,,,,,,,,,,,,,
,,,,,,,,220,,,,,,,,,,,,,,,,,,
,,,,,,,,221,,,,,,,,,,,,,,,,,,
,,,,,,,,222,,,,,,,,,,,,,,,,,,
,,,,,,,,223,,,,,,,,,,,,,,,,,,
,,,,,,,,224,,,,,,,,,,,,,,,,,,
,,,,,,,,225,,,,,,,,,,,,,,,,,,
,,,,,,,,226,,,,,,,,,,,,,,,,,,
,,,,,,,,227,,,,,,,,,,,,,,,,,,
,,,,,,,,228,,,,,,,,,,,,,,,,,,
,,,,,,,,229,,,,,,,,,,,,,,,,,,
,,,,,,,,230,,,,,,,,,,,,,,,,,,
,,,,,,,,231,,,,,,,,,,,,,,,,,,
,,,,,,,,232,,,,,,,,,,,,,,,,,,
,,,,,,,,233,,,,,,,,,,,,,,,,,,
,,,,,,,,234,,,,,,,,,,,,,,,,,,
,,,,,,,,235,,,,,,,,,,,,,,,,,,
,,,,,,,,236,,,,,,,,,,,,,,,,,,
,,,,,,,,237,,,,,,,,,,,,,,,,,,
,,,,,,,,238,,,,,,,,,,,,,,,,,,
,,,,,,,,239,,,,,,,,,,,,,,,,,,
,,,,,,,,240,,,,,,,,,,,,,,,,,,
,,,,,,,,241,,,,,,,,,,,,,,,,,,
,,,,,,,,242,,,,,,,,,,,,,,,,,,
,,,,,,,,243,,,,,,,,,,,,,,,,,,
,,,,,,,,244,,,,,,,,,,,,,,,,,,
,,,,,,,,245,,,,,,,,,,,,,,,,,,
,,,,,,,,246,,,,,,,,,,,,,,,,,,
,,,,,,,,247,,,,,,,,,,,,,,,,,,
,,,,,,,,248,,,,,,,,,,,,,,,,,,
,,,,,,,,249,,,,,,,,,,,,,,,,,,
,,,,,,,,250,,,,,,,,,,,,,,,,,,
,,,,,,,,251,,,,,,,,,,,,,,,,,,
,,,,,,,,252,,,,,,,,,,,,,,,,,,
,,,,,,,,253,,,,,,,,,,,,,,,,,,
,,,,,,,,254,,,,,,,,,,,,,,,,,,
,,,,,,,,255,,,,,,,,,,,,,,,,,,
,,,,,,,,256,,,,,,,,,,,,,,,,,,
,,,,,,,,257,,,,,,,,,,,,,,,,,,
,,,,,,,,258,,,,,,,,,,,,,,,,,,
,,,,,,,,259,,,,,,,,,,,,,,,,,,
,,,,,,,,260,,,,,,,,,,,,,,,,,,
,,,,,,,,261,,,,,,,,,,,,,,,,,,
,,,,,,,,262,,,,,,,,,,,,,,,,,,
,,,,,,,,263,,,,,,,,,,,,,,,,,,
,,,,,,,,264,,,,,,,,,,,,,,,,,,
,,,,,,,,265,,,,,,,,,,,,,,,,,,
,,,,,,,,266,,,,,,,,,,,,,,,,,,
,,,,,,,,267,,,,,,,,,,,,,,,,,,
,,,,,,,,268,,,,,,,,,,,,,,,,,,
,,,,,,,,269,,,,,,,,,,,,,,,,,,
,,,,,,,,270,,,,,,,,,,,,,,,,,,
,,,,,,,,271,,,,,,,,,,,,,,,,,,
,,,,,,,,272,,,,,,,,,,,,,,,,,,
,,,,,,,,273,,,,,,,,,,,,,,,,,,
,,,,,,,,274,,,,,,,,,,,,,,,,,,
,,,,,,,,275,,,,,,,,,,,,,,,,,,
,,,,,,,,276,,,,,,,,,,,,,,,,,,
,,,,,,,,277,,,,,,,,,,,,,,,,,,
,,,,,,,,278,,,,,,,,,,,,,,,,,,
,,,,,,,,279,,,,,,,,,,,,,,,,,,
,,,,,,,,280,,,,,,,,,,,,,,,,,,
,,,,,,,,281,,,,,,,,,,,,,,,,,,
,,,,,,,,282,,,,,,,,,,,,,,,,,,
,,,,,,,,283,,,,,,,,,,,,,,,,,,
,,,,,,,,284,,,,,,,,,,,,,,,,,,
,,,,,,,,285,,,,,,,,,,,,,,,,,,
,,,,,,,,286,,,,,,,,,,,,,,,,,,
,,,,,,,,287,,,,,,,,,,,,,,,,,,
,,,,,,,,288,,,,,,,,,,,,,,,,,,
,,,,,,,,289,,,,,,,,,,,,,,,,,,
,,,,,,,,290,,,,,,,,,,,,,,,,,,
,,,,,,,,291,,,,,,,,,,,,,,,,,,
,,,,,,,,292,,,,,,,,,,,,,,,,,,
,,,,,,,,293,,,,,,,,,,,,,,,,,,
,,,,,,,,294,,,,,,,,,,,,,,,,,,
,,,,,,,,295,,,,,,,,,,,,,,,,,,
,,,,,,,,296,,,,,,,,,,,,,,,,,,
,,,,,,,,297,,,,,,,,,,,,,,,,,,
,,,,,,,,298,,,,,,,,,,,,,,,,,,
,,,,,,,,299,,,,,,,,,,,,,,,,,,
,,,,,,,,300,,,,,,,,,,,,,,,,,,
,,,,,,,,301,,,,,,,,,,,,,,,,,,
,,,,,,,,302,,,,,,,,,,,,,,,,,,
,,,,,,,,303,,,,,,,,,,,,,,,,,,
,,,,,,,,304,,,,,,,,,,,,,,,,,,
,,,,,,,,305,,,,,,,,,,,,,,,,,,
,,,,,,,,306,,,,,,,,,,,,,,,,,,
,,,,,,,,307,,,,,,,,,,,,,,,,,,
,,,,,,,,308,,,,,,,,,,,,,,,,,,
,,,,,,,,309,,,,,,,,,,,,,,,,,,
,,,,,,,,310,,,,,,,,,,,,,,,,,,
,,,,,,,,311,,,,,,,,,,,,,,,,,,
,,,,,,,,312,,,,,,,,,,,,,,,,,,
,,,,,,,,313,,,,,,,,,,,,,,,,,,
,,,,,,,,314,,,,,,,,,,,,,,,,,,
,,,,,,,,315,,,,,,,,,,,,,,,,,,
,,,,,,,,316,,,,,,,,,,,,,,,,,,
,,,,,,,,317,,,,,,,,,,,,,,,,,,
,,,,,,,,318,,,,,,,,,,,,,,,,,,
,,,,,,,,319,,,,,,,,,,,,,,,,,,
,,,,,,,,320,,,,,,,,,,,,,,,,,,
,,,,,,,,321,,,,,,,,,,,,,,,,,,
,,,,,,,,322,,,,,,,,,,,,,,,,,,
,,,,,,,,323,,,,,,,,,,,,,,,,,,
,,,,,,,,324,,,,,,,,,,,,,,,,,,
,,,,,,,,325,,,,,,,,,,,,,,,,,,
,,,,,,,,326,,,,,,,,,,,,,,,,,,
,,,,,,,,327,,,,,,,,,,,,,,,,,,
,,,,,,,,328,,,,,,,,,,,,,,,,,,
,,,,,,,,329,,,,,,,,,,,,,,,,,,
,,,,,,,,330,,,,,,,,,,,,,,,,,,
,,,,,,,,331,,,,,,,,,,,,,,,,,,
,,,,,,,,332,,,,,,,,,,,,,,,,,,
,,,,,,,,333,,,,,,,,,,,,,,,,,,
,,,,,,,,334,,,,,,,,,,,,,,,,,,
,,,,,,,,335,,,,,,,,,,,,,,,,,,
,,,,,,,,336,,,,,,,,,,,,,,,,,,
,,,,,,,,337,,,,,,,,,,,,,,,,,,
,,,,,,,,338,,,,,,,,,,,,,,,,,,
,,,,,,,,339,,,,,,,,,,,,,,,,,,
,,,,,,,,340,,,,,,,,,,,,,,,,,,
,,,,,,,,341,,,,,,,,,,,,,,,,,,
,,,,,,,,342,,,,,,,,,,,,,,,,,,
,,,,,,,,343,,,,,,,,,,,,,,,,,,
,,,,,,,,344,,,,,,,,,,,,,,,,,,
,,,,,,,,345,,,,,,,,,,,,,,,,,,
,,,,,,,,346,,,,,,,,,,,,,,,,,,
,,,,,,,,347,,,,,,,,,,,,,,,,,,
,,,,,,,,348,,,,,,,,,,,,,,,,,,
,,,,,,,,349,,,,,,,,,,,,,,,,,,
,,,,,,,,350,,,,,,,,,,,,,,,,,,
,,,,,,,,351,,,,,,,,,,,,,,,,,,
,,,,,,,,352,,,,,,,,,,,,,,,,,,
,,,,,,,,353,,,,,,,,,,,,,,,,,,
,,,,,,,,354,,,,,,,,,,,,,,,,,,
,,,,,,,,355,,,,,,,,,,,,,,,,,,
,,,,,,,,356,,,,,,,,,,,,,,,,,,
,,,,,,,,357,,,,,,,,,,,,,,,,,,
,,,,,,,,358,,,,,,,,,,,,,,,,,,
,,,,,,,,359,,,,,,,,,,,,,,,,,,
,,,,,,,,360,,,,,,,,,,,,,,,,,,
,,,,,,,,361,,,,,,,,,,,,,,,,,,
,,,,,,,,362,,,,,,,,,,,,,,,,,,
,,,,,,,,363,,,,,,,,,,,,,,,,,,
,,,,,,,,364,,,,,,,,,,,,,,,,,,
,,,,,,,,365,,,,,,,,,,,,,,,,,,
,,,,,,,,366,,,,,,,,,,,,,,,,,,
,,,,,,,,367,,,,,,,,,,,,,,,,,,
,,,,,,,,368,,,,,,,,,,,,,,,,,,
,,,,,,,,369,,,,,,,,,,,,,,,,,,
,,,,,,,,370,,,,,,,,,,,,,,,,,,
,,,,,,,,371,,,,,,,,,,,,,,,,,,
,,,,,,,,372,,,,,,,,,,,,,,,,,,
,,,,,,,,373,,,,,,,,,,,,,,,,,,
,,,,,,,,374,,,,,,,,,,,,,,,,,,
,,,,,,,,375,,,,,,,,,,,,,,,,,,
,,,,,,,,376,,,,,,,,,,,,,,,,,,
,,,,,,,,377,,,,,,,,,,,,,,,,,,
,,,,,,,,378,,,,,,,,,,,,,,,,,,
,,,,,,,,379,,,,,,,,,,,,,,,,,,
,,,,,,,,380,,,,,,,,,,,,,,,,,,
,,,,,,,,381,,,,,,,,,,,,,,,,,,
,,,,,,,,382,,,,,,,,,,,,,,,,,,
,,,,,,,,383,,,,,,,,,,,,,,,,,,
,,,,,,,,384,,,,,,,,,,,,,,,,,,
,,,,,,,,385,,,,,,,,,,,,,,,,,,
,,,,,,,,386,,,,,,,,,,,,,,,,,,
,,,,,,,,387,,,,,,,,,,,,,,,,,,
,,,,,,,,388,,,,,,,,,,,,,,,,,,
